date,waste_diverted,recycled_material,co2_avoided_demo
2026-07-17,168.1,97.0,25.9
2026-07-18,95.4,74.3,19.8
2026-07-19,85.6,56.6,15.1
2026-07-20,116.7,71.9,19.2
2026-07-21,146.7,114.4,30.5
2026-07-22,165.6,106.3,28.4
2026-07-23,126.0,77.8,20.8
2026-07-24,93.2,55.3,14.8
2026-07-25,173.1,136.7,36.5
2026-07-26,154.4,106.5,28.4
2026-07-27,121.4,84.1,22.5
2026-07-28,126.7,84.6,22.6
2026-07-29,80.2,46.8,12.5
2026-07-30,174.5,118.7,31.7
2026-07-31,174.6,103.7,27.7
2026-08-01,128.8,78.1,20.9
2026-08-02,94.1,52.5,14.0
2026-08-03,78.7,62.8,16.8
2026-08-04,102.0,72.8,19.4
2026-08-05,118.5,78.0,20.8
2026-08-06,126.2,75.8,20.2
2026-08-07,178.7,137.8,36.8
2026-08-08,150.3,101.7,27.2
2026-08-09,82.6,66.0,17.6
2026-08-10,104.3,58.8,15.7
2026-08-11,104.4,79.8,21.3
2026-08-12,136.6,102.8,27.4
2026-08-13,156.3,94.9,25.3
2026-08-14,171.2,114.4,30.5
2026-08-15,138.5,76.3,20.4
