machine_id,status,material,input_weight,processed_weight,processing_time,temperature,power_consumption
M01,IDLE,None,0.0,0.0,0,29.6,0.11
M01,ONLINE,Paper,3.5,2.5,21,39.0,1.3
M01,OFFLINE,None,0.0,0.0,0,27.6,0.06
M01,ONLINE,Plastic,3.6,2.8,8,36.7,2.32
M01,ONLINE,Plastic,4.5,3.5,11,36.0,1.38
M01,ONLINE,Cardboard,3.0,2.4,20,41.9,1.73
M01,ONLINE,Cardboard,6.9,6.0,15,39.9,1.59
M01,ONLINE,Paper,6.4,4.8,14,40.0,2.69
M01,ONLINE,Plastic,5.3,4.5,10,36.6,1.42
M01,ONLINE,Plastic,3.0,2.2,20,36.4,1.38
M01,IDLE,None,0.0,0.0,0,28.4,0.27
M01,IDLE,None,0.0,0.0,0,30.5,0.35
M01,ONLINE,Plastic,7.3,6.0,14,45.3,2.57
M01,ONLINE,Plastic,7.6,6.0,11,43.2,2.78
M01,ONLINE,Cardboard,7.1,5.4,15,43.2,1.55
M01,IDLE,None,0.0,0.0,0,29.5,0.2
M01,OFFLINE,None,0.0,0.0,0,25.1,0.07
M01,ONLINE,Cardboard,3.8,3.2,8,44.5,2.38
M01,OFFLINE,None,0.0,0.0,0,29.5,0.12
M01,ONLINE,Plastic,3.7,3.1,9,38.1,2.01
M01,ONLINE,Paper,3.0,2.1,15,43.0,1.4
M01,OFFLINE,None,0.0,0.0,0,29.5,0.18
M01,ONLINE,Cardboard,6.1,4.6,18,43.1,1.67
M01,ONLINE,Cardboard,7.2,5.1,17,43.1,1.57
M01,OFFLINE,None,0.0,0.0,0,26.3,0.12
M01,OFFLINE,None,0.0,0.0,0,27.8,0.08
M01,IDLE,None,0.0,0.0,0,31.4,0.27
M01,IDLE,None,0.0,0.0,0,31.6,0.4
M01,ONLINE,Cardboard,5.6,3.9,8,42.2,1.85
M01,IDLE,None,0.0,0.0,0,27.6,0.37
M01,IDLE,None,0.0,0.0,0,31.1,0.14
M01,ONLINE,Cardboard,3.9,2.9,21,46.3,2.66
M01,ONLINE,Plastic,5.3,4.5,17,40.5,2.03
M01,OFFLINE,None,0.0,0.0,0,28.7,0.15
M01,ONLINE,Paper,5.8,4.2,18,46.4,2.48
M01,OFFLINE,None,0.0,0.0,0,25.5,0.04
M01,ONLINE,Paper,3.1,2.8,21,44.6,2.62
M01,ONLINE,Cardboard,4.6,3.8,13,43.0,1.85
M01,ONLINE,Cardboard,7.7,6.1,8,40.5,1.83
M01,ONLINE,Paper,3.8,3.2,9,40.1,2.73
M01,IDLE,None,0.0,0.0,0,27.6,0.33
M01,ONLINE,Cardboard,4.4,3.3,20,38.2,2.04
M01,ONLINE,Cardboard,4.3,3.0,8,47.5,2.24
M01,ONLINE,Paper,3.6,2.7,14,39.5,2.42
M01,ONLINE,Paper,7.5,6.7,16,47.4,1.31
M01,OFFLINE,None,0.0,0.0,0,25.7,0.06
M01,ONLINE,Cardboard,3.5,3.0,18,42.5,1.46
M01,IDLE,None,0.0,0.0,0,28.5,0.15
M01,ONLINE,Paper,5.9,5.0,18,40.5,1.85
M01,ONLINE,Plastic,6.9,5.1,18,47.3,1.39
