batch_id,input_weight,sorted_weight,processed_weight,output_weight,material,processing_date
AZG-P-001,21.0,19.3,17.8,16.0,Paper,2026-07-21
AZG-P-002,13.8,12.7,11.7,10.5,Plastic,2026-07-24
AZG-P-003,13.3,12.2,11.2,10.1,Plastic,2026-08-04
AZG-P-004,7.7,7.1,6.5,5.9,Plastic,2026-07-27
AZG-P-005,21.1,19.4,17.8,16.0,Paper,2026-08-13
AZG-G-006,27.3,25.1,23.1,20.8,Glass,2026-07-24
AZG-G-007,15.3,14.1,13.0,11.7,Glass,2026-08-07
AZG-G-008,7.2,6.6,6.1,5.5,Glass,2026-07-30
AZG-P-009,9.7,8.9,8.2,7.4,Paper,2026-07-30
AZG-P-010,18.3,16.8,15.5,14.0,Plastic,2026-08-02
AZG-M-011,22.4,20.6,19.0,17.1,Metal,2026-08-11
AZG-O-012,14.9,13.7,12.6,11.3,Organic,2026-07-26
AZG-P-013,19.9,18.3,16.8,15.1,Paper,2026-08-03
AZG-P-014,14.6,13.4,12.3,11.1,Plastic,2026-08-09
AZG-P-015,12.6,11.6,10.7,9.6,Paper,2026-07-31
AZG-P-016,7.4,6.8,6.3,5.7,Paper,2026-07-22
AZG-P-017,26.3,24.2,22.3,20.1,Plastic,2026-07-22
AZG-P-018,13.0,12.0,11.0,9.9,Plastic,2026-08-04
AZG-G-019,27.0,24.8,22.8,20.5,Glass,2026-07-17
AZG-M-020,23.0,21.2,19.5,17.6,Metal,2026-07-18
AZG-G-021,16.3,15.0,13.8,12.4,Glass,2026-07-31
AZG-P-022,18.1,16.7,15.4,13.9,Paper,2026-08-02
AZG-M-023,12.6,11.6,10.7,9.6,Metal,2026-07-25
AZG-O-024,15.1,13.9,12.8,11.5,Organic,2026-07-25
AZG-P-025,25.6,23.6,21.7,19.5,Paper,2026-08-10
AZG-P-026,17.7,16.3,15.0,13.5,Paper,2026-07-26
AZG-P-027,11.5,10.6,9.8,8.8,Plastic,2026-08-06
AZG-P-028,21.7,20.0,18.4,16.6,Plastic,2026-08-14
AZG-P-029,26.1,24.0,22.1,19.9,Plastic,2026-07-20
AZG-M-030,5.9,5.4,5.0,4.5,Metal,2026-07-21
AZG-O-031,24.1,22.2,20.4,18.4,Organic,2026-07-28
AZG-M-032,12.3,11.3,10.4,9.4,Metal,2026-07-23
AZG-O-033,16.8,15.5,14.3,12.9,Organic,2026-07-25
AZG-G-034,26.5,24.4,22.4,20.2,Glass,2026-07-22
AZG-O-035,15.0,13.8,12.7,11.4,Organic,2026-07-18
AZG-O-036,25.5,23.5,21.6,19.4,Organic,2026-07-19
AZG-M-037,25.5,23.5,21.6,19.4,Metal,2026-08-12
AZG-O-038,12.3,11.3,10.4,9.4,Organic,2026-07-17
AZG-P-039,13.6,12.5,11.5,10.3,Plastic,2026-08-05
AZG-P-040,22.2,20.4,18.8,16.9,Plastic,2026-07-28
AZG-O-041,10.5,9.7,8.9,8.0,Organic,2026-08-14
AZG-P-042,24.1,22.2,20.4,18.4,Paper,2026-08-12
AZG-O-043,18.8,17.3,15.9,14.3,Organic,2026-07-22
AZG-O-044,9.5,8.7,8.0,7.2,Organic,2026-07-25
AZG-O-045,27.4,25.2,23.2,20.9,Organic,2026-08-09
AZG-O-046,8.3,7.6,7.0,6.3,Organic,2026-08-14
AZG-P-047,8.0,7.4,6.8,6.1,Paper,2026-07-23
AZG-P-048,7.8,7.2,6.6,5.9,Plastic,2026-07-25
AZG-P-049,18.4,16.9,15.5,14.0,Paper,2026-08-06
AZG-P-050,23.5,21.6,19.9,17.9,Paper,2026-07-17
AZG-P-051,8.0,7.4,6.8,6.1,Plastic,2026-08-08
AZG-P-052,26.3,24.2,22.3,20.1,Paper,2026-07-19
AZG-O-053,16.2,14.9,13.7,12.3,Organic,2026-07-26
AZG-P-054,27.0,24.8,22.8,20.5,Plastic,2026-08-01
AZG-O-055,5.6,5.2,4.8,4.3,Organic,2026-08-13
AZG-P-056,19.6,18.0,16.6,14.9,Plastic,2026-08-11
AZG-O-057,14.6,13.4,12.3,11.1,Organic,2026-07-21
AZG-O-058,18.7,17.2,15.8,14.2,Organic,2026-07-22
AZG-O-059,15.7,14.4,13.2,11.9,Organic,2026-08-10
AZG-P-060,5.4,5.0,4.6,4.1,Plastic,2026-08-05
