collection_id,bin_id,batch_id,date,waste_type,weight_kg,collector,destination
WC-001,B19,AZG-P-001,2026-07-21,Paper,21.0,Team-B,Recycling Unit
WC-002,B09,AZG-P-002,2026-07-24,Plastic,13.8,Team-B,Recycling Unit
WC-003,B14,AZG-P-003,2026-08-04,Plastic,13.3,Team-D,Recycling Unit
WC-004,B02,AZG-P-004,2026-07-27,Mixed,7.7,Team-D,Sorting Unit
WC-005,B08,AZG-P-005,2026-08-13,Paper,21.1,Team-B,Recycling Unit
WC-006,B06,AZG-G-006,2026-07-24,Glass,27.3,Team-D,Recycling Unit
WC-007,B06,AZG-G-007,2026-08-07,Glass,15.3,Team-C,Recycling Unit
WC-008,B06,AZG-G-008,2026-07-30,Glass,7.2,Team-D,Recycling Unit
WC-009,B03,AZG-P-009,2026-07-30,Paper,9.7,Team-C,Recycling Unit
WC-010,B07,AZG-P-010,2026-08-02,Plastic,18.3,Team-A,Recycling Unit
WC-011,B10,AZG-M-011,2026-08-11,Metal,22.4,Team-B,Recycling Unit
WC-012,B15,AZG-O-012,2026-07-26,Organic,14.9,Team-C,Composting Unit
WC-013,B03,AZG-P-013,2026-08-03,Paper,19.9,Team-C,Recycling Unit
WC-014,B02,AZG-P-014,2026-08-09,Mixed,14.6,Team-A,Sorting Unit
WC-015,B04,AZG-P-015,2026-07-31,Paper,12.6,Team-C,Recycling Unit
WC-016,B03,AZG-P-016,2026-07-22,Paper,7.4,Team-C,Recycling Unit
WC-017,B16,AZG-P-017,2026-07-22,Plastic,26.3,Team-D,Recycling Unit
WC-018,B12,AZG-P-018,2026-08-04,Plastic,13.0,Team-C,Recycling Unit
WC-019,B06,AZG-G-019,2026-07-17,Glass,27.0,Team-B,Recycling Unit
WC-020,B10,AZG-M-020,2026-07-18,Metal,23.0,Team-A,Recycling Unit
WC-021,B06,AZG-G-021,2026-07-31,Glass,16.3,Team-B,Recycling Unit
WC-022,B19,AZG-P-022,2026-08-02,Paper,18.1,Team-B,Recycling Unit
WC-023,B17,AZG-M-023,2026-07-25,Metal,12.6,Team-C,Recycling Unit
WC-024,B11,AZG-O-024,2026-07-25,Organic,15.1,Team-A,Composting Unit
WC-025,B08,AZG-P-025,2026-08-10,Paper,25.6,Team-C,Recycling Unit
WC-026,B03,AZG-P-026,2026-07-26,Paper,17.7,Team-A,Recycling Unit
WC-027,B14,AZG-P-027,2026-08-06,Plastic,11.5,Team-A,Recycling Unit
WC-028,B14,AZG-P-028,2026-08-14,Plastic,21.7,Team-D,Recycling Unit
WC-029,B07,AZG-P-029,2026-07-20,Plastic,26.1,Team-D,Recycling Unit
WC-030,B05,AZG-M-030,2026-07-21,Metal,5.9,Team-C,Recycling Unit
WC-031,B11,AZG-O-031,2026-07-28,Organic,24.1,Team-B,Composting Unit
WC-032,B17,AZG-M-032,2026-07-23,Metal,12.3,Team-D,Recycling Unit
WC-033,B13,AZG-O-033,2026-07-25,Organic,16.8,Team-D,Composting Unit
WC-034,B06,AZG-G-034,2026-07-22,Glass,26.5,Team-A,Recycling Unit
WC-035,B11,AZG-O-035,2026-07-18,Organic,15.0,Team-D,Composting Unit
WC-036,B20,AZG-O-036,2026-07-19,Organic,25.5,Team-C,Composting Unit
WC-037,B17,AZG-M-037,2026-08-12,Metal,25.5,Team-A,Recycling Unit
WC-038,B11,AZG-O-038,2026-07-17,Organic,12.3,Team-D,Composting Unit
WC-039,B07,AZG-P-039,2026-08-05,Plastic,13.6,Team-D,Recycling Unit
WC-040,B02,AZG-P-040,2026-07-28,Mixed,22.2,Team-B,Sorting Unit
WC-041,B01,AZG-O-041,2026-08-14,Organic,10.5,Team-A,Composting Unit
WC-042,B03,AZG-P-042,2026-08-12,Paper,24.1,Team-A,Recycling Unit
WC-043,B15,AZG-O-043,2026-07-22,Organic,18.8,Team-C,Composting Unit
WC-044,B18,AZG-O-044,2026-07-25,Organic,9.5,Team-B,Composting Unit
WC-045,B20,AZG-O-045,2026-08-09,Organic,27.4,Team-B,Composting Unit
WC-046,B11,AZG-O-046,2026-08-14,Organic,8.3,Team-A,Composting Unit
WC-047,B04,AZG-P-047,2026-07-23,Paper,8.0,Team-A,Recycling Unit
WC-048,B14,AZG-P-048,2026-07-25,Plastic,7.8,Team-C,Recycling Unit
WC-049,B19,AZG-P-049,2026-08-06,Paper,18.4,Team-B,Recycling Unit
WC-050,B04,AZG-P-050,2026-07-17,Paper,23.5,Team-C,Recycling Unit
WC-051,B02,AZG-P-051,2026-08-08,Mixed,8.0,Team-B,Sorting Unit
WC-052,B03,AZG-P-052,2026-07-19,Paper,26.3,Team-B,Recycling Unit
